"BallotID","raiford"
"AB-0001+10109",1
"AB-0001+10119",1
"AB-0002+10075",1
"AB-0002+10185",0
"AB-0002+10187",1
"AB-0002+10191",1
"AB-0002+10197",1
"AB-0002+10201",1
"AB-0002+10209",1
"AB-0002+10215",1
"AB-0002+10253",0
"AB-0002+10269",0
"AB-0002+10329",0
"AB-0002+10341",0
"AB-0002+10361",1
"AB-0002+10389",0
"AB-0002+10393",1
"AB-0002+10403",1
"AB-0002+10421",1
"AB-0002+10439",1
"AB-0003+10041",0
"AB-0003+10073",1
"AB-0003+10097",0
"AB-0003+10101",1
"AB-0003+10153",1
"AB-0003+10189",1
"AB-0003+10263",1
"AB-0003+10269",0
"AB-0003+10271",0
"AB-0004+10003",1
"AB-0004+10011",1
"AB-0004+10029",0
"AB-0004+10033",1
"AB-0004+10079",1
"AB-0004+10109",1
"AB-0004+10273",0
"AB-0004+10379",0
"AB-0005+10007",0
"AB-0006+10003",1
"AB-0006+10029",1
"AB-0006+10041",0
"AB-0006+10065",0
"AB-0006+10081",1
"AB-0006+10089",1
"AB-0006+10101",1
"AB-0006+10123",0
"AB-0006+10137",1
"AB-0006+10145",1
"AB-0006+10153",1
"AB-0006+10169",1
"AB-0006+10199",1
"AB-0006+10201",1
"AB-0006+10269",1
"AB-0006+10347",1
"AB-0006+10349",1
"AB-0006+10353",1
"AB-0006+10359",1
"AB-0006+10369",1
"AB-0006+10373",1
"AB-0006+10377",1
"AB-0007+10007",0
"AB-0007+10021",0
"AB-0007+10033",1
"AB-0007+10065",1
"AB-0007+10073",1
"AB-0007+10077",1
"AB-0007+10103",1
"AB-0007+10109",1
"AB-0007+10123",1
"AB-0007+10129",1
"AB-0007+10147",1
"AB-0007+10151",1
"AB-0008+10015",0
"AB-0008+10041",0
"AB-0008+10069",1
"AB-0008+10111",0
"AB-0008+10119",1
"AB-0008+10181",0
"AB-0008+10273",0
"AB-0008+10331",0
"AB-0008+10369",1
"AB-0008+10425",0
"AB-0008+10481",0
"AB-0008+10517",1
"AB-0008+10519",1
"AB-0008+10595",0
"AB-0008+10605",0
"AB-0008+10633",0
"AB-0008+10647",0
"AB-0008+10661",0
"AB-0008+10667",1
"AB-0008+10679",1
"AB-0008+10687",0
"AB-0008+10763",1
"AB-0008+10785",1
"AB-0009+10017",1
"AB-0009+10021",1
"AB-0009+10035",1
"AB-0009+10039",1
"AB-0009+10083",1
"AB-0009+10103",1
"AB-0009+10119",1
"AB-0009+10123",1
"AB-0009+10163",1
"AB-0009+10175",1
"AB-0009+10179",1
"AB-0009+10193",1
"AB-0009+10231",1
"AB-0009+10235",1
"AB-0009+10239",0
"AB-0009+10247",1
"AB-0009+10249",1
"AB-0009+10293",1
"AB-0009+10295",1
"AB-0009+10375",0
"AB-0009+10421",1
"AB-0009+10431",1
"AB-0009+10509",1
"AB-0009+10525",1
"AB-0009+10537",0
"AB-0010+10057",1
"AB-0010+10067",1
"AB-0010+10071",1
"AB-0010+10083",1
"AB-0010+10107",1
"AB-0010+10125",1
"AB-0010+10133",1
